
=== Session started 2026-07-11T10:38:47.152252 (192.168.1.168:23) ===
[10:38:47.157] [dev] eDrum telnet console
[10:39:20.186] [DBG] hit output OFF (quiet)
[10:39:21.664] [DBG] hit output ON
[10:39:38.794] [SCOPE] Active: input=0 floor=15
[10:39:44.462] [HIT] t=1583437 i=0 note=38 vel=35 raw=35 truepeak=909 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=698.0 dchead=12.2 spikerej=98 rcstate=2 lcp=909 refrise=1
[10:39:44.467] [SysEx TX] F0 00 7D 00 05 03 00 00 23 23 F7
[10:39:44.473] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=1230 rim_peak=66 decision=HEAD samples=200
[10:39:45.277] T,H,R
[10:39:46.144] 92,2,2
[10:39:46.146] 93,6,3
[10:39:46.150] 94,3,0
[10:39:46.152] 95,7,5
[10:39:46.155] 96,7,3
[10:39:46.157] 97,14,2
[10:39:46.163] 98,26,2
[10:39:46.167] 99,42,2
[10:39:46.170] 100,65,0
[10:39:46.171] 101,72,0
[10:39:46.171] 102,84,2
[10:39:46.181] 103,90,1
[10:39:46.181] 104,85,2
[10:39:46.181] 105,70,4
[10:39:46.182] 106,50,7
[10:39:46.194] 107,48,3
[10:39:46.194] 108,52,2
[10:39:46.195] 109,38,2
[10:39:46.198] 110,19,0
[10:39:46.200] 111,2,4
[10:39:46.203] 112,0,1
[10:39:46.206] 113,0,2
[10:39:46.214] 114,0,0
[10:39:46.215] 115,0,5
[10:39:46.215] 116,0,8
[10:39:46.217] 117,0,2
[10:39:46.221] 118,0,1
[10:39:46.223] 119,0,2
[10:39:46.227] 120,0,2
[10:39:46.228] 121,0,2
[10:39:46.231] 122,0,4
[10:39:46.234] 123,2,4
[10:39:46.244] 124,10,2
[10:39:46.244] 125,21,2
[10:39:46.244] 126,23,3
[10:39:46.244] 127,34,2
[10:39:46.249] 128,40,2
[10:39:46.251] 129,47,5
[10:39:46.256] 130,46,10
[10:39:46.256] 131,57,7
[10:39:46.259] 132,62,2
[10:39:46.271] 133,57,3
[10:39:46.271] 134,59,5
[10:39:46.271] 135,56,3
[10:39:46.272] 136,54,5
[10:39:46.277] 137,43,2
[10:39:46.284] 138,36,8
[10:39:46.284] 139,25,6
[10:39:46.285] 140,22,8
[10:39:46.294] 141,20,4
[10:39:46.295] 142,2,5
[10:39:46.295] 143,0,10
[10:39:46.302] 144,0,2
[10:39:46.302] 145,0,2
[10:39:46.305] 146,0,6
[10:39:46.306] 147,0,3
[10:39:46.311] 148,0,5
[10:39:46.319] 149,0,5
[10:39:46.319] 150,0,2
[10:39:46.319] 151,0,7
[10:39:46.319] 152,0,3
[10:39:46.324] 153,0,5
[10:39:46.326] 154,0,6
[10:39:46.329] 155,5,7
[10:39:46.331] 156,2,4
[10:39:46.334] 157,4,9
[10:39:46.337] 158,20,10
[10:39:46.346] 159,27,4
[10:39:46.346] 160,35,7
[10:39:46.346] 161,46,9
[10:39:46.350] 162,68,7
[10:39:46.353] 163,60,5
[10:39:46.355] 164,60,8
[10:39:46.358] 165,68,4
[10:39:46.361] 166,60,4
[10:39:46.364] 167,46,5
[10:39:46.367] 168,39,10
[10:39:46.372] 169,39,10
[10:39:46.373] 170,27,5
[10:39:46.374] 171,13,6
[10:39:46.377] 172,13,4
[10:39:46.392] 173,1,4
[10:39:46.392] 174,0,10
[10:39:46.392] 175,0,6
[10:39:46.398] 176,0,6
[10:39:46.400] 177,0,6
[10:39:46.404] 178,0,5
[10:39:46.406] 179,0,3
[10:39:46.408] 180,0,3
[10:39:46.411] 181,0,3
[10:39:46.417] 182,0,5
[10:39:46.419] 183,0,4
[10:39:46.420] 184,2,7
[10:39:46.422] 185,11,7
[10:39:46.425] 186,18,10
[10:39:46.429] 187,22,3
[10:39:46.433] 188,22,3
[10:39:46.434] 189,22,3
[10:39:46.436] 190,23,3
[10:39:46.440] 191,36,5
[10:39:46.449] 192,36,4
[10:39:46.449] 193,36,4
[10:39:46.449] 194,28,2
[10:39:46.450] 195,33,8
[10:39:46.454] 196,35,7
[10:39:46.456] 197,36,6
[10:39:46.461] 198,35,8
[10:39:46.462] 199,32,3
