
=== Session started 2026-07-06T19:24:33.391265 (192.168.1.168:23) ===
[19:24:33.392] [dev] eDrum telnet console
[19:24:37.231] [eDrum] Build 0 — p=ping  i=identify  s=config  n=test note  r=reboot
[19:24:37.234]   a=toggle ADC dump  d=toggle hit debug print  m=toggle diag mode (detection+MIDI off)
[19:24:37.236]   o <input> <floor> = scope input (e.g. o 0 10)   o off = disable scope
[19:24:37.239]   w <input> <param> <value> = set param (e.g. w 0 scan 3)
[19:24:37.242]   params: thresh sens scan mask retrig type ratio chokethresh choke enable
[19:24:55.109] [w] input=0 sens=3250 OK
[19:24:55.135] [SysEx TX] F0 00 7D 00 05 01 01 06 00 F7
[19:24:58.777] [HIT] t=531553 i=0 note=38 vel=1 raw=1 truepeak=187 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=45.0 dchead=3.0 spikerej=389
[19:24:58.789] [SysEx TX] F0 00 7D 00 05 03 00 00 01 01 F7
[19:24:58.791] [SCOPE] input=0 pad_type=0 head_ch=1 rim_ch=0 head_peak=189 rim_peak=14 decision=HEAD samples=200
[19:24:58.795] T,H,R
[19:25:01.070] 93,30,2
[19:25:01.071] 94,31,4
[19:25:01.072] 95,41,0
[19:25:01.075] 96,68,0
[19:25:01.081] 97,102,0
[19:25:01.082] 98,142,0
[19:25:01.082] 99,170,0
[19:25:01.085] 100,182,0
[19:25:01.089] 101,173,0
[19:25:01.094] 102,157,2
[19:25:01.096] 103,125,0
[19:25:01.097] 104,85,0
[19:25:01.100] 105,72,2
[19:25:01.102] 106,72,0
[19:25:01.105] 107,93,0
[19:25:01.108] 108,109,5
[19:25:01.111] 109,143,0
[19:25:01.120] 110,162,0
[19:25:01.120] 111,172,4
[19:25:01.122] 112,166,0
[19:25:01.124] 113,157,0
[19:25:01.127] 114,118,0
[19:25:01.130] 115,87,2
[19:25:01.133] 116,49,10
[19:25:01.140] 117,10,14
[19:25:01.141] 118,0,8
[19:25:01.141] 119,0,8
[19:25:01.145] 120,0,14
[19:25:01.147] 121,0,17
[19:25:01.150] 122,0,16
[19:25:01.155] 123,4,7
[19:25:01.156] 124,5,11
[19:25:01.158] 125,0,6
[19:25:01.161] 126,0,7
[19:25:01.164] 127,0,8
[19:25:01.166] 128,0,14
[19:25:01.169] 129,1,13
[19:25:01.174] 130,11,16
[19:25:01.175] 131,37,11
[19:25:01.179] 132,67,8
[19:25:01.183] 133,84,10
[19:25:01.183] 134,77,10
[19:25:01.185] 135,65,3
[19:25:01.189] 136,25,1
[19:25:01.191] 137,7,17
[19:25:01.194] 138,0,2
[19:25:01.197] 139,0,0
[19:25:01.200] 140,0,2
[19:25:01.203] 141,0,1
[19:25:01.206] 142,24,1
[19:25:01.208] 143,60,2
[19:25:01.212] 144,93,4
[19:25:01.215] 145,118,0
[19:25:01.224] 146,138,0
[19:25:01.225] 147,145,1
[19:25:01.227] 148,138,0
[19:25:01.232] 149,129,0
[19:25:01.233] 150,96,0
[19:25:01.236] 151,71,2
[19:25:01.240] 152,61,0
[19:25:01.242] 153,52,0
[19:25:01.244] 154,54,0
[19:25:01.247] 155,44,0
[19:25:01.250] 156,39,0
[19:25:01.253] 157,14,0
[19:25:01.257] 158,0,1
[19:25:01.258] 159,0,2
[19:25:01.259] 160,0,0
[19:25:01.264] 161,0,3
[19:25:01.266] 162,0,1
[19:25:01.269] 163,0,0
[19:25:01.274] 164,0,2
[19:25:01.276] 165,0,3
[19:25:01.279] 166,11,0
[19:25:01.280] 167,31,7
[19:25:01.287] 168,38,6
[19:25:01.287] 169,36,0
[19:25:01.288] 170,17,7
[19:25:01.289] 171,0,7
[19:25:01.295] 172,0,5
